Company name,Company URL,Location,Founded,Industry,Company size
SABA,https://wuzzuf.net/jobs/careers/SABA-Egypt-32300,"Cairo, Egypt",2002,Telecommunications,51-100 employees
Ejada ,https://wuzzuf.net/jobs/careers/Ejada--Cairo--Egypt-9273,"Cairo, Egypt",2005,Computer and Network Security,Size not provided
Sarmady,https://wuzzuf.net/jobs/careers/Sarmady-57,"Giza, Egypt",2001,Information Technology Services,101-500 employees
Heineken,https://wuzzuf.net/jobs/careers/Heineken-Egypt-94737,"Cairo, Egypt",Foundation date not provided,Industry not provided,Size not provided
Giza Arabia Systems,https://wuzzuf.net/jobs/careers/Giza Arabia Systems-Egypt-91406,"Cairo, Egypt",Foundation date not provided,Industry not provided,Size not provided
Union Coop,https://wuzzuf.net/jobs/careers/U-Egypt-36354,"Dubai, United Arab Emirates",Foundation date not provided,Industry not provided,Size not provided
Algoriza,https://wuzzuf.net/jobs/careers/Algoriza-Egypt-58919,"Giza, Egypt",2011,Computer Software,51-100 employees
Azdan Business Analytics,https://wuzzuf.net/jobs/careers/Azdan-Business-Analytics-Egypt-28996,"Cairo, Egypt",2009,Management Consulting,11-50 employees
BI-Technologies,https://wuzzuf.net/jobs/careers/BI-Technologies-Egypt-14526,"Cairo, Egypt",2006,Computer Software,101-500 employees
ICIS,https://wuzzuf.net/jobs/careers/ICIS-Saudi-Arabia-36620,"Cairo, Egypt",2008,Computer Software,11-50 employees
Perfect Presentation,https://wuzzuf.net/jobs/careers/PERFECT-PRESENTAION-Egypt-10124,"Cairo, Egypt",Foundation date not provided,Industry not provided,Size not provided
Nacita,https://wuzzuf.net/jobs/careers/Nacita-Egypt-22041,"Cairo, Egypt",1944,Automotive,501-1000 employees
Trufla,https://wuzzuf.net/jobs/careers/Trufla-Egypt-17331,"Cairo, Egypt",Foundation date not provided,Industry not provided,Size not provided
Samcrete Engineers & contractors,https://wuzzuf.net/jobs/careers/Samcrete-Egypt-74991,"Giza, Egypt",1963,Construction - Industrial Facilities and Infrastructure,More than 1000 employees
Osolutions,https://wuzzuf.net/jobs/careers/ask-sev-Egypt-34672,"Cairo, Egypt",Foundation date not provided,Industry not provided,Size not provided
Victory Link,https://wuzzuf.net/jobs/careers/Victory-Link-Egypt-5033,"Cairo, Egypt",1998,Marketing and Advertising,101-500 employees
Netcompay- Intrasoft,https://wuzzuf.net/jobs/careers/Netcompay- Intrasoft-Jordan-95895,Jordan,Foundation date not provided,Industry not provided,Size not provided
Smart Cards application,https://wuzzuf.net/jobs/careers/smart-cards-application-Egypt-60845,"Giza, Egypt",Foundation date not provided,Industry not provided,Size not provided
CrossWorkers,https://wuzzuf.net/jobs/careers/Cross-Workers-Egypt-3401,"Cairo, Egypt",2012,Information Technology Services,51-100 employees
Sceel.io,https://wuzzuf.net/jobs/careers/sceel-Egypt-73908,"Cairo, Egypt",2018,Computer Software,51-100 employees
CyberX,https://wuzzuf.net/jobs/careers/CyberX-Egypt-95591,Egypt,2019,Information Technology Services,51-100 employees
World Food Program - Other locations,https://wuzzuf.net/jobs/careers/World Food Program - Other locations-Egypt-92536,"Cairo, Egypt",Foundation date not provided,Industry not provided,Size not provided
Expert Apps,https://wuzzuf.net/jobs/careers/Expert-Apps-Egypt-50784,"Cairo, Egypt",2009,Computer Software,11-50 employees
FinBi Finance & Banking Consultants International,https://wuzzuf.net/jobs/careers/FinBi-Finance--amp--Banking-Consultants-International-Egypt-26845,"Giza, Egypt",Foundation date not provided,Industry not provided,Size not provided
Our Education,https://wuzzuf.net/jobs/careers/Our-edu-Egypt-51211,"Cairo, Egypt",Foundation date not provided,Industry not provided,Size not provided
Bevatel,https://wuzzuf.net/jobs/careers/Bavaya-Egypt-40591,"Giza, Egypt",Foundation date not provided,Industry not provided,Size not provided
Aswaq,https://wuzzuf.net/jobs/careers/Aswaq-Egypt-94925,Egypt,Foundation date not provided,Industry not provided,Size not provided
