Company Name,Link
SABA,https://wuzzuf.net/jobs/careers/SABA-Egypt-32300
Ejada ,https://wuzzuf.net/jobs/careers/Ejada--Cairo--Egypt-9273
Sarmady,https://wuzzuf.net/jobs/careers/Sarmady-57
Heineken,https://wuzzuf.net/jobs/careers/Heineken-Egypt-94737
Giza Arabia Systems,https://wuzzuf.net/jobs/careers/Giza Arabia Systems-Egypt-91406
Union Coop,https://wuzzuf.net/jobs/careers/U-Egypt-36354
Algoriza,https://wuzzuf.net/jobs/careers/Algoriza-Egypt-58919
Azdan Business Analytics,https://wuzzuf.net/jobs/careers/Azdan-Business-Analytics-Egypt-28996
BI-Technologies,https://wuzzuf.net/jobs/careers/BI-Technologies-Egypt-14526
ICIS,https://wuzzuf.net/jobs/careers/ICIS-Saudi-Arabia-36620
Perfect Presentation,https://wuzzuf.net/jobs/careers/PERFECT-PRESENTAION-Egypt-10124
Nacita,https://wuzzuf.net/jobs/careers/Nacita-Egypt-22041
Trufla,https://wuzzuf.net/jobs/careers/Trufla-Egypt-17331
Samcrete Engineers & contractors,https://wuzzuf.net/jobs/careers/Samcrete-Egypt-74991
Osolutions,https://wuzzuf.net/jobs/careers/ask-sev-Egypt-34672
Victory Link,https://wuzzuf.net/jobs/careers/Victory-Link-Egypt-5033
Netcompay- Intrasoft,https://wuzzuf.net/jobs/careers/Netcompay- Intrasoft-Jordan-95895
Smart Cards application,https://wuzzuf.net/jobs/careers/smart-cards-application-Egypt-60845
CrossWorkers,https://wuzzuf.net/jobs/careers/Cross-Workers-Egypt-3401
Sceel.io,https://wuzzuf.net/jobs/careers/sceel-Egypt-73908
CyberX,https://wuzzuf.net/jobs/careers/CyberX-Egypt-95591
World Food Program - Other locations,https://wuzzuf.net/jobs/careers/World Food Program - Other locations-Egypt-92536
Expert Apps,https://wuzzuf.net/jobs/careers/Expert-Apps-Egypt-50784
FinBi Finance & Banking Consultants International,https://wuzzuf.net/jobs/careers/FinBi-Finance--amp--Banking-Consultants-International-Egypt-26845
Our Education,https://wuzzuf.net/jobs/careers/Our-edu-Egypt-51211
Bevatel,https://wuzzuf.net/jobs/careers/Bavaya-Egypt-40591
Aswaq,https://wuzzuf.net/jobs/careers/Aswaq-Egypt-94925
Nahr Development,https://wuzzuf.net/jobs/careers/Nahr-Development-Egypt-20713
EGID company,https://wuzzuf.net/jobs/careers/AGTI-company-Egypt-45817
Al-Meshka,https://wuzzuf.net/jobs/careers/Almeshka-Egypt-66878
International Advanced ,https://wuzzuf.net/jobs/careers/International-Advanced-Egypt-58336
waffarha.com,https://wuzzuf.net/jobs/careers/waffarha-com-Egypt-3723
TREX,https://wuzzuf.net/jobs/careers/TREX-Egypt-95527
BSmart,https://wuzzuf.net/jobs/careers/BSmart-Saudi-Arabia-66898
Arabian Advanced Systems,https://wuzzuf.net/jobs/careers/Arabian-Advanced-Systems-Egypt-4431
eT3 - Tomorrow Information Technology,https://wuzzuf.net/jobs/careers/eT3---Tomorrow-Information-Technology-Egypt-5525
AK IT Consulting,https://wuzzuf.net/jobs/careers/Erp-Buddy-Egypt-59472
Nile University,https://wuzzuf.net/jobs/careers/Nile-University-Egypt-30674
Dexef,https://wuzzuf.net/jobs/careers/Dexef-Egypt-37590
Casita,https://wuzzuf.net/jobs/careers/Casita-Egypt-47449
Noases,https://wuzzuf.net/jobs/careers/parmagyat-Egypt-93597
FinTech Collective,https://wuzzuf.net/jobs/careers/FinTech Collective-Egypt-94697
Antal International - Egypt,https://wuzzuf.net/jobs/careers/Antal International - Egypt-Egypt-91877
CodeCooks,https://wuzzuf.net/jobs/careers/CodeCooks-Egypt-95797
