Job Title,Job URL,Experience Needed,Company Name,Location,Career Level,Education Level,Salary,Job Categories,Skills and Tools,Job Description,Job Requirements
Project Manager - Data Networks (ICT),https://wuzzuf.net/jobs/p/ruAqF5ts8Eum-Project-Manager---Data-Networks-ICT-SABA-Cairo-Egypt,2 to 5 years,SABA,"Heliopolis, Cairo",Experienced (Non-Manager),Bachelor's Degree,Confidential,IT/Software Development,"Project Management, Software Engineering, Data Networks, Networks, PMP, Microsoft Visio, Smartdraw, AutoCAD, ICT, Engineering, No skills and tools found","We are looking for an experienced Project Manager to manage organization of key client projects.
Responsibilities:

Create & manage project plans
Define project schedules, allocate resources and monitor progress
Make sure project team is clear on objectives
Help project team with the tasks
Lead process of issue identification and resolution
Manage risk tracking process
Monitor and manage scope
Manage all documentation
Work multiple projects simultaneously
Foster partnership with customers/stakeholders/sponsors
Ensuring that all projects are delivered on-time, within scope and within budget
Manage change requests professionally
","Competencies:

Great educational background, preferably in the fields of computer science or engineering for technical project managers
Three or more years’ project management experience in I.T. Network infrastructure/Surveillance domains
PMP certifications is a plus.
Thrives in collaborative environment, organized
Good communications skills, with customers, team and stakeholders
Customer-focused mindset
Knowledge of related software tools like Microsoft office suite, smartdraw, visio, autocad
"
Graphic Designer,https://wuzzuf.net/jobs/p/401uDu6fHOXW-Graphic-Designer-Ejada-Cairo-Egypt,3 to 5 years,Ejada,"Cairo, Egypt",Experienced (Non-Manager),Bachelor's Degree,Confidential,Creative/Design/Art,"Adobe Photoshop, Adobe illustrator, Visual Arts, Graphic, Startup, Typography, Software, Graphic Design, Design Software, No skills and tools found","Role and ResponsibilitiesDesign Creation: Develop creative and original design concepts for a variety of projects, including but not limited to logos, brochures, posters, banners, social media graphics, websites, mobile apps, and more.Visual Identity: Create and maintain consistent visual branding elements, ensuring that designs align with the organization's brand guidelines and convey the desired message.Client Collaboration: Work closely with clients or project managers to understand their design requirements, objectives, and target audience, and translate these into effective visual solutions.Research: Conduct research to stay updated on design trends, industry standards, and best practices to continually enhance the quality and impact of design work.Software Proficiency: Utilize graphic design software tools such as Adobe Creative Suite (Photoshop, Illustrator, InDesign), CorelDRAW, or other relevant software to create and edit designs.Layout and Composition: Arrange visual elements (images, typography, color schemes, etc.) in a visually pleasing and balanced manner to create aesthetically pleasing designs.Print and Production: Prepare designs for print production, ensuring that they meet the necessary specifications and requirements.Digital Design: Create graphics and visual assets for digital platforms, including websites, social media, and mobile applications, optimizing them for different screen sizes and resolutions.Collaboration: Work closely with cross-functional teams, including marketing, copywriters, and web developers, to ensure cohesive and integrated design solutions.Feedback and Iteration: Receive feedback from clients and team members and make necessary revisions to designs based on feedback and requirements.Project Management: Manage multiple projects simultaneously, adhering to deadlines and ensuring that design projects are delivered on time and within scope.  ","Qualifications and Education RequirementsEducation: Bachelor's degree in graphic design, visual arts, or a related field3-5 years experience in IT company or startup is a mustTechnical qualifications:Proficiency in graphic design software and tools.Strong understanding of design principles, typography, color theory, and layout composition.Preferred Skillstime managementtechnical communicationteamworkdesign thinking skillsdomain knowledgeproblem-solving "
Front End Team Lead,https://wuzzuf.net/jobs/p/skldTjjwiqPQ-Front-End-Team-Lead-Sarmady-Giza-Egypt,5 to 8 years,Sarmady,"Mohandessin, Giza",Manager ,Not Specified,Confidential,Creative/Design/Art,"Computer Science, CSS3, CSS, Angular, front-end, Git, HTML, Information Technology (IT), JavaScript, Software, Software Development, ui, No skills and tools found","Lead development of front-end best practices and frameworks, enabling the development team to produce consistent, maintainable, secure, and performant user interfaces.Set up development plans for the front-end team.Collaborate with cross-functional teams, including designers, backend developers, QA teams and stakeholders, to design and implement robust frontend applications using Angular, JavaScript, HTML5, and CSS3.Conduct code reviews to ensure quality output.Worked with a cross-functional, full-stack development team and had prior experience building cross-platform, responsive, high-performing user interfaces for web applications.Design and develop scalable web applications using open-source technologiesDeveloping and maintaining high-quality web applications using AngularDevelop responsive web applications using HTML5, CSS, and Javascript, and associated Javascript frameworks, for desktop, tablet, and mobile platformsWork with UX Designers and other Developers to implement full-stack web solutions.Optimizes application for maximum speed and scalability.Keeping up to date with the latest technologies and trends in front-end development","5+ years of experience in software frontend development and at least 2 years as a team-lead.Prior experience in managing a team of front-end developers.Proficient in HTML 5, CSS 3, JavaScript and TypeScriptProficient in using Angular front-end frameworkExpertise in writing clean, modular, and structured code.Proven ability to implement pixel-perfect UI designs using CSS3 and SCSS.Expertise in version control like Git and branching strategies.Expertise working with RESTful API and API toolsExpertise in debugging using chrome dev tools and performance monitoring tools like lighthouse.Knowledge using Three.js is a plusMust be personable, friendly and work well in a team"
Senior Front-End Developer,https://wuzzuf.net/jobs/p/UneKWHRM0SkV-Senior-Front-End-Developer-Sarmady-Giza-Egypt,3 to 5 years,Sarmady,"Mohandessin, Giza",Experienced (Non-Manager),Not Specified,Confidential,Creative/Design/Art,"API, Angular, CSS, Computer Science, front-end, HTML, Information Technology (IT), Software Development, UI, JavaScript, Git, CSS3, No skills and tools found","Responsibilities: Work with a cross-functional, full-stack development team and had prior experience building cross-platform, responsive, high-performing user interfaces for web applications.Design and develop scalable web applications using open-source technologiesDeveloping and maintaining high-quality web applications using AngularDevelop responsive web applications using HTML5, CSS, and Javascript, and associated Javascript frameworks, for desktop, tablet, and mobile platformsWork with UX Designers and other Developers to implement full-stack web solutions.Optimizes application for maximum speed and scalability.Keeping up to date with the latest technologies and trends in front-end development"," 3+ years of experience in front-end development.Proficient in HTML 5, CSS 3, JavaScript and TypeScriptProficient in using Angular front-end frameworkExpertise in writing clean, modular, and structured code.Proven ability to implement pixel-perfect UI designs using CSS3 and SCSS.Expertise in version control like Git and branching strategies.Expertise working with RESTful API and API toolsExpertise in debugging using Chrome dev tools and performance monitoring tools like Lighthouse.Knowledge using Three.js is a plusMust be personable, friendly and work well in a team"
Business Analyst - Supply Chain Business Control,https://wuzzuf.net/jobs/p/YnLMIGc4M49f-Business-Analyst---Supply-Chain-Business-Control-Heineken-Cairo-Egypt,Not Specified,Heineken,"Cairo, Egypt",Not specified ,Not Specified,Confidential,IT/Software Development,"Business Analysis, Information Technology (IT), Computer Science, Analysis, Software Development, Software, Computer Engineering, Engineering, Business, Agile, Analyst, Software Engineering, Business Development, Microsoft Office, SQL, Research, System Analysis, Business Analyst, English, Project Management, No skills and tools found","At ABC, we brew the joy of true togetherness to inspire a better world. A big part of that means brewing better people with the heart of our company in our four values:Passion for consumers and customers Care for people and planet Enjoyment of life Courage to dream and pioneerJob PurposeActs as a business partner to the Supply Chain department and assists in controlling the budget as well as setting and achieving financial targets.Duties and Responsibilities1. Acts as a business partner in the plants, assisting them in budgeting and controlling and expenditures.2. Uploads the plants' financial data on the designated systems.3. Runs the monthly closing process in the plants. Reconciles the plants' expenses recorded on the system against the actual expenses.4. Runs Cost of Goods Sold (COGS) analysis in terms of volume, price and efficiency.5. Supports the planning of OpEx, COGS and working capital in the plants.6. Follows up on CapEx and OPEX on a weekly basis.7. Manages the working capital i.e. inventory and payables pillar for raw and pack materials.8. Consolidates all the working capital in terms of inventory and payables and reports the analysis.9. Supports various ad-hoc projects, such as: opportunity assessment projects, raw material bucket, working capital for raw material, etc.10. Submits financial reports as requested by the regional, global or local offices.11. Acts as a support during external audits and provides any required financial documents and reports.12. Attends planning and Daily Control System (DCS) meetings at the plants.13. Manages opportunity assessment projects such as New Product Introduction (NPI) in terms of production costs and financial impact.14. Develops and submits reports in a timely manner such as: Volume Price Mix (VPM) for COGS and for utilities, Fayrouz Elimination report, Internal Control Process report, Working Capital report, OpEx and CapEx report, etc.Education & ExperiencesEducational Background: Bachelor's degree in Commerce, majoring in Finance or AccountingYears of Experience: 1-3 years of relevant experience preferably in FMCGs.Qualifications & Other RequirementsExcellent command of English Language Skills in Microsoft (Excel & PowerPoint) and Power Bi is a plus Profound experience, with advanced ERP systems, e.g. SAPPersonal SkillsCritical and Challenging Analytical Skills Interpersonal & Communication Skills High Persuasion and Negotiation skills Pro-active & Teamwork oriented",No Job requirments found
Senior Pega Developer,https://wuzzuf.net/jobs/p/FqEYl0gluwfC-Senior-Pega-Developer-Giza-Arabia-Systems-Cairo-Egypt,Not Specified,Giza Arabia Systems,"Cairo, Egypt",Not specified ,Not Specified,Confidential,Business Development,"Information Technology (IT), Computer Science, Software Development, javaScript, Software Engineering, CSS, HTML, SQL, Engineering, MVC, Computer Engineering, Web Development, HTML5, jQuery, C#, .NET, Angular, Git, PHP, CSS3, No skills and tools found","Senior Pega DeveloperJob DescriptionThe person in this role will be expected to demonstrate technical leadership in the selection of technologies, tools and designs in the evolution of the platform. Responsible for the development and maintenance of the Pega application & interfaces. Update and Maintain documents that include guardrails and best practices by implementing necessary policies and also train others in the critical success factors of the policy. Assist with troubleshooting and debugging of Pega applications to clearly identify the root cause of production-level architecture issues and make practical suggestions with proof-based technical reasoning. Concentrate on providing innovative solutions to more complex business needs. Actively take a leading role and participate on project teams in various project roles, including, but not limited to, Developer, Technical Lead and Project Manager, based upon level of experience. Effectively communicate with team members, customers, partners and management, including assisting with or conducting more complex technical walk-throughs, reporting project status, enabling vendor solutions and providing accurate and concise documentation As a PEGA Developer, you will be responsible for designing, developing, and supporting PEGA-based applications as specified by our business partners. Developing new features and problem identification and resolution.Personal Skills Have experience building distributed service oriented. Demonstrate ability to utilize Scrum, continuous integration, and TDD in order to build scalable, reusable, well-tested, and maintainable software. Self-starting and can work autonomously in a larger team. Committed to following best practices.Technical SkillsBachelor’s degree in computer science or similar Proven work experience as a Pega developer at least 4 years. Advanced knowledge of Pega PRPC 5.x/6.x/7. x. Strong Knowledge of J2EE, XML, Java, JSP, and EJB. Familiarity with Scrum and Agile methodology. Knowledge of coding languages including Angular JS, and JQuery. Knowledge of web technologies including JavaScript, CSS, HTML5, and XML.Job Location Cairo, Egypt Job Role Information Technology Years of Experience Min: 4 Max: 7",No Job requirments found
Senior Full Stack Developer (on-site),https://wuzzuf.net/jobs/p/k7yNcuyRTq6S-Senior-Full-Stack-Developer-on-site-Union-Coop-Giza-Egypt,More than 4 years,Union Coop,"Dokki, Giza",Experienced (Non-Manager),Bachelor's Degree,Confidential,IT/Software Development,".Net, Angular, ASP.Net, CSS, HTML, Software, Software Development, JavaScript, No skills and tools found","We are seeking a skilled Full Stack Developer with a minimum of 4 years of experience to join our dynamic team. The ideal candidate will have expertise in both front-end and back-end technologies and be proficient in using .NET Framework, .NET Core, ASP.NET Core, Entity Framework, SQL Server, RESTful APIs, DevExpress Libraries, HTML, CSS, Bootstrap, JavaScript, Angular or TypeScript. The successful candidate will be responsible for designing and implementing scalable and efficient software solutions, as well as working collaboratively with cross-functional teams to deliver high-quality projects. Responsibilities:Design, develop, and maintain software applications using .NET Framework, .NET Core, and ASP.NET Core.Work with cross-functional teams to identify, design, and implement software solutions that meet customer requirements.Develop and maintain database structures using SQL Server and Entity Framework.Create RESTful APIs to enable seamless communication between front-end and back-end systems.Use DevExpress Libraries to design and implement user-friendly interfaces.Write clean, efficient, and well-documented code in HTML, CSS, Bootstrap, JavaScript, Angular or TypeScript, Ensure that all software solutions are scalable, secure, and optimized for performance.Troubleshoot and debug software issues as they arise.Stay up-to-date with emerging trends and technologies in software development. ","A minimum of 4 years of experience in full-stack development.Strong expertise in .NET Framework, .NET Core, ASP.NET Core, Entity Framework, SQL Server, RESTful APIs, DevExpress Libraries, HTML, CSS, Bootstrap, and JavaScript, Angular, or TypeScript.Proven experience in designing and implementing scalable and efficient software solutions.Strong problem-solving skills and the ability to troubleshoot and debug software issues.Excellent verbal and written communication skills.Bachelor's degree in Computer Science, Engineering, or a related field is preferred. If you are a self-starter who is passionate about software development and has a proven track record of delivering high-quality projects, we encourage you to apply for this exciting opportunity. We are offering the following benefits:Salary in EGP but is based on AED monthly conversion rate30 days annual leaves balanceMedical insurance"
Senior Java Developer,https://wuzzuf.net/jobs/p/8MPMLVRyA6HI-Senior-Java-Developer-Algoriza-Giza-Egypt,3 to 6 years,Algoriza,"Giza, Egypt",Experienced (Non-Manager),Not Specified,Confidential,IT/Software Development,"API, MangoDB, MySQL, OOP, No skills and tools found","Strong expertise in Core Java and Object-Oriented Programming (OOP).Excellent knowledge of database design concepts.Proficiency in SQL (MySQL) and NoSQL databases (MongoDB, Elasticsearch).Solid understanding of Spring Data and Design Patterns.Extensive experience in designing RESTful APIs.Good experience with Message Queues (Kafka, RabbitMQ).Proficiency in writing Unit tests.Familiarity with cache technologies like EH cache, Redis, etc.Competency in Sockets Programming.Participates as a member of the development team.Works on problems/projects of moderate complexity.Offers informed analysis and limited project direction input.Performs basic analysis of functional or business requirements.Completes code stubs prepared by more senior developers.Participates in code reviews.Prepares and executes Unit tests.Applies advanced technical knowledge to maintain one or more technology areas.Performs solution design.Utilizes Contractor Systems and 3rd party technologies to develop infrastructure and software solutions of moderate complexity.Implements end-user or enterprise infrastructure or services, as guided by senior technologists.Evaluates unique circumstances and makes recommendations.","Bachelor's degree in Engineering, Computer Science, or equivalent education & experience.Minimum of 3 years of relevant experience.Exceptional communication skills, both written and verbal.Strong understanding of API design principles and patterns, including REST and reactive programming (Webflux, or similar).Proficient in writing well-designed, testable, and efficient code.Ability to review and provide feedback on pull requests.Support and collaborate with other team members.Ensure that designs adhere to specifications."
Technical SME Engineer,https://wuzzuf.net/jobs/p/i7ukva87Ge3B-Technical-SME-Engineer-Algoriza-Giza-Egypt,3 to 6 years,Algoriza,"Giza, Egypt",Experienced (Non-Manager),Not Specified,Confidential,IT/Software Development,"ZATCA, XML, No skills and tools found"," Serve as a subject matter expert in the ZATCA e-invoicing regime, offering valuable insights and solutions to internal and external stakeholders. This includes a deep understanding of the e-invoicing regulations and standards in Zambia. Work closely with product development teams to design, develop, and optimize e-invoicing solutions that meet ZATCA requirements and ensure compliance. Conduct thorough technical assessments, feasibility studies, and risk analyses to identify potential issues and propose effective solutions.Assist in troubleshooting and resolving technical issues and challenges that may arise during the implementation and operation of the e-invoicing system. Stay current with industry trends, emerging technologies, and changes in ZATCA regulations, ensuring that the e-invoicing solution remains up to date and compliant. Provide mentorship and knowledge transfer to junior team members, helping them understand the complexities of the ZATCA e-invoicing regime and the technical components of the solution. Act as a bridge between technical and non-technical teams, facilitating effective communication and collaboration to ensure the successful execution of the e-invoicing project."," Bachelor's degree in a relevant field or equivalent experience. A minimum of 3 years of experience as a Technical SME Engineer or in a similar role, with a proven track record of successfully delivering technical solutions.Strong problem-solving and analytical skills to address complex technical challenges.Excellent communication and collaboration abilities to work effectively with various teams and stakeholders.Ability to work effectively in a fast-paced, dynamic environment, adapting to changing requirements and regulations.Familiarity with the ZATCA e-invoicing regime, including its requirements for taxpayers and the e-invoicing solution's architecture and modules. Awareness of XML and UBL fundamentals in the context of ZATCA e-invoicing requirements and data dictionaries."
Senior ERP Project Manager,https://wuzzuf.net/jobs/p/SEaEPn1VWcTS-Senior-ERP-Project-Manager-Azdan-Business-Analytics-Cairo-Egypt,4 to 7 years,Azdan Business Analytics,"Cairo, Egypt",Experienced (Non-Manager),Not Specified,Confidential,IT/Software Development,"PMP, EPM, NetSuite, Oracle, ERP, Project Manager, Senior Project Manager, No skills and tools found","Project Manager Main Purposesuccessful planning and execution of any project, he/she makes decisions that directly benefit the project, control the risk, and minimise uncertainty.Assumes an experienced level of project management, especially for complex nature, high values, and strategic projects Main Duties Required to follow up and assign tasks for Project Stakeholders.Follow and adhere to Azdan PM policy manual and procedures.Study the project scope and secure customer approval on the scope and baseline planBe a subject matter expert in PM function  and PM best practices and can provide assistance when requiredForm, manage, control, and monitor project team (s) (eg: Azdan resources, outsourced services providers ..etc)Report cross-selling and upselling opportunities within his project as appropriate.Control Project budget and expenditures.Conduct suitable communications and relations with various project stakeholders to solicit cooperation and resolve conflicts.Prepare, maintain, and review project reports.Exploit customer/supplier relations  to secure and clear service rendering, revenue recognition and paymentCreate, maintain, and control project schedule/plan and cash flowCreate and maintain project plan document(S) e.g: schedule, risk management plan, change management plan, quality management plan, and communication plan.Create, maintain, and influence project plan, budget and tracking and influence project progress and rectify deviations as early as encounteredAssign, disseminate, track, control, and accept work to assigned parties within the Project scope.Set project revenue forecast, budget, and GP and is held accountable for results actualization.Is responsible for determining customer needs and granting customer satisfaction within the project scope.Handling conflicts and ensuring project safe integration and delivery among various parties and stakeholders.Conduct Project progress meetings, steering meetings, and correspondences.Influence project changes and enforce project change management procedures.Maintain and professionally keep project documentation according to the Azdan PM policy and prepare for project audits.Risk identification and plan mitigation contingencies and alternatives.Consult with managerial or supervisory personnel.Coaching and supervising Project Supervisors and Associate PMS.",ERP NetSuite or EPM knowledge is requiredBusiness & Finance knowledge is preferredPMP is a plusHave Great Planning & Tracking SkillsBe Detailed orientedDecision TakerSuper in Business writing and memos.Very systematic & can create Project plansGreat analytical SkillsHaving a Bachelor's degree from a Business related universityPMP certification would be a great plus5+ Years of relevant experienceSoftware & consultation Experience preferable
